text,label
Workers are subjected to verbal abuse by their supervisors.,0
All workers are entitled to a minimum of 10 days of paid vacation annually.,1
Employees are required to work more than 12 hours a day without additional pay.,0
Health and safety regulations are strictly followed.,1
Employees are not given any medical insurance.,0
The workplace is regularly inspected for safety compliance.,1
Workers are denied the minimum wage.,0
All employees receive annual leave as per labor law requirements.,1
The company does not provide paid sick leave to employees.,0
Child labor is strictly prohibited in all company operations.,1
Employees are forced to sign unfair contracts.,0
All employees receive annual leave as per labor law requirements.,1
No health and safety training is provided to workers.,0
Child labor is strictly prohibited in all company operations.,1
Employees are required to work more than 12 hours a day without additional pay.,0
Workers are paid at least the national minimum wage.,1
No safety equipment is provided in the workplace.,0
Overtime is paid at the legal rate for all extra hours worked.,1
The company does not provide paid sick leave to employees.,0
The workplace is regularly inspected for safety compliance.,1
Child labor is used in hazardous factory conditions.,0
The workplace is free from harassment and discrimination.,1
Employees are not given any medical insurance.,0
Employees are free to form trade unions and engage in collective bargaining.,1
Overtime is not compensated as per the legal requirement.,0
Maternity leave is granted as per national labor laws.,1
Employees are not given any medical insurance.,0
Protective equipment is provided in all hazardous areas.,1
Maternity leave is not provided to female employees.,0
Child labor is strictly prohibited in all company operations.,1
The company does not provide paid sick leave to employees.,0
The workplace is free from harassment and discrimination.,1
Employees are forced to sign unfair contracts.,0
Health and safety regulations are strictly followed.,1
Child labor is used in hazardous factory conditions.,0
The workplace is regularly inspected for safety compliance.,1
Workers are required to work 12-hour shifts without any overtime pay.,0
The workplace is regularly inspected for safety compliance.,1
Overtime is not compensated as per the legal requirement.,0
Employees are granted regular breaks during long shifts.,1
Wages are paid below the minimum legal requirement.,0
All workers are entitled to a minimum of 10 days of paid vacation annually.,1
Maternity leave is not provided to female employees.,0
Child labor is strictly prohibited in the factory.,1
No safety equipment is provided in the workplace.,0
Child labor is strictly prohibited in all company operations.,1
The company does not provide paid sick leave to employees.,0
Health and safety regulations are strictly followed.,1
Employees are not given any medical insurance.,0
Health and safety regulations are strictly followed.,1
Employees are required to work more than 12 hours a day without additional pay.,0
Workers are paid at least the national minimum wage.,1
No paid annual leave is granted to workers despite long service.,0
Child labor is strictly prohibited in the factory.,1
No safety equipment is provided in the workplace.,0
Child labor is strictly prohibited in the factory.,1
The company does not provide paid sick leave to employees.,0
Protective equipment is provided in all hazardous areas.,1
Wages are paid below the minimum legal requirement.,0
Maternity leave is granted as per national labor laws.,1
Workers are subjected to verbal abuse by their supervisors.,0
Child labor is strictly prohibited in all company operations.,1
Workers are denied the minimum wage.,0
Workers are paid at least the national minimum wage.,1
No paid annual leave is granted to workers despite long service.,0
Child labor is strictly prohibited in all company operations.,1
Child labor is used in hazardous factory conditions.,0
The workplace is free from harassment and discrimination.,1
Wages are paid below the minimum legal requirement.,0
Maternity leave is granted as per national labor laws.,1
No health and safety training is provided to workers.,0
Employees are granted regular breaks during long shifts.,1
Overtime is not compensated as per the legal requirement.,0
All employees are provided with annual health check-ups.,1
Employees are forced to sign unfair contracts.,0
All employees receive annual leave as per labor law requirements.,1
Child labor is used in hazardous factory conditions.,0
Workers are paid at least the national minimum wage.,1
The company does not provide paid sick leave to employees.,0
Workers have access to medical facilities and health insurance.,1
Wages are paid below the minimum legal requirement.,0
Overtime is paid at the legal rate for all extra hours worked.,1
Workers are denied the minimum wage.,0
Workers are paid at least the national minimum wage.,1
No health and safety training is provided to workers.,0
All employees receive annual leave as per labor law requirements.,1
Child labor is used in hazardous factory conditions.,0
Health and safety regulations are strictly followed.,1
Workers are denied the minimum wage.,0
Health and safety regulations are strictly followed.,1
Maternity leave is not provided to female employees.,0
All employees are provided with annual health check-ups.,1
Employees are terminated without notice or severance pay.,0
Workers have access to medical facilities and health insurance.,1
Workers are subjected to verbal abuse by their supervisors.,0
Overtime is paid at the legal rate for all extra hours worked.,1
Workers are denied the minimum wage.,0
Child labor is strictly prohibited in all company operations.,1
No paid annual leave is granted to workers despite long service.,0
The workplace is free from harassment and discrimination.,1
Child labor is used in hazardous factory conditions.,0
All employees receive annual leave as per labor law requirements.,1
No safety equipment is provided in the workplace.,0
Employees are granted regular breaks during long shifts.,1
Wages are paid below the minimum legal requirement.,0
The workplace is free from harassment and discrimination.,1
Employees are required to work more than 12 hours a day without additional pay.,0
Child labor is strictly prohibited in all company operations.,1
Overtime is not compensated as per the legal requirement.,0
Child labor is strictly prohibited in the factory.,1
Employees are terminated without notice or severance pay.,0
All workers are entitled to a minimum of 10 days of paid vacation annually.,1
Wages are paid below the minimum legal requirement.,0
The workplace is regularly inspected for safety compliance.,1
Workers are subjected to verbal abuse by their supervisors.,0
Child labor is strictly prohibited in all company operations.,1
No health and safety training is provided to workers.,0
The workplace is regularly inspected for safety compliance.,1
Employees are required to work more than 12 hours a day without additional pay.,0
The workplace is free from harassment and discrimination.,1
Overtime is not compensated as per the legal requirement.,0
Overtime is paid at the legal rate for all extra hours worked.,1
Wages are paid below the minimum legal requirement.,0
Protective equipment is provided in all hazardous areas.,1
Wages are paid below the minimum legal requirement.,0
Workers are paid at least the national minimum wage.,1
Workers are required to work 12-hour shifts without any overtime pay.,0
The workplace is regularly inspected for safety compliance.,1
Employees are not given any medical insurance.,0
Child labor is strictly prohibited in the factory.,1
No health and safety training is provided to workers.,0
Health and safety regulations are strictly followed.,1
No safety equipment is provided in the workplace.,0
Employees are free to form trade unions and engage in collective bargaining.,1
Workers are required to work 12-hour shifts without any overtime pay.,0
All workers are entitled to a minimum of 10 days of paid vacation annually.,1
Overtime is not compensated as per the legal requirement.,0
Employees are free to form trade unions and engage in collective bargaining.,1
No safety equipment is provided in the workplace.,0
Child labor is strictly prohibited in all company operations.,1
Wages are paid below the minimum legal requirement.,0
All employees are provided with annual health check-ups.,1
Wages are paid below the minimum legal requirement.,0
Child labor is strictly prohibited in the factory.,1
Employees are required to work more than 12 hours a day without additional pay.,0
All employees receive annual leave as per labor law requirements.,1
Wages are paid below the minimum legal requirement.,0
All employees are provided with annual health check-ups.,1
No paid annual leave is granted to workers despite long service.,0
Overtime is paid at the legal rate for all extra hours worked.,1
No safety equipment is provided in the workplace.,0
Employees are free to form trade unions and engage in collective bargaining.,1
No safety equipment is provided in the workplace.,0
Child labor is strictly prohibited in all company operations.,1
No safety equipment is provided in the workplace.,0
Workers are paid at least the national minimum wage.,1
Employees are forced to sign unfair contracts.,0
Overtime is paid at the legal rate for all extra hours worked.,1
Child labor is used in hazardous factory conditions.,0
All employees are provided with annual health check-ups.,1
Child labor is used in hazardous factory conditions.,0
Employees are granted regular breaks during long shifts.,1
Workers are required to work 12-hour shifts without any overtime pay.,0
Workers are paid at least the national minimum wage.,1
Child labor is used in hazardous factory conditions.,0
All employees are provided with annual health check-ups.,1
Employees are terminated without notice or severance pay.,0
Workers are paid at least the national minimum wage.,1
Employees are terminated without notice or severance pay.,0
Child labor is strictly prohibited in all company operations.,1
Employees are terminated without notice or severance pay.,0
All employees receive annual leave as per labor law requirements.,1
Workers are denied the minimum wage.,0
Employees are granted regular breaks during long shifts.,1
Employees are forced to sign unfair contracts.,0
Employees are granted regular breaks during long shifts.,1
Maternity leave is not provided to female employees.,0
All workers are entitled to a minimum of 10 days of paid vacation annually.,1
Child labor is used in hazardous factory conditions.,0
The workplace is regularly inspected for safety compliance.,1
Employees are required to work more than 12 hours a day without additional pay.,0
Employees are granted regular breaks during long shifts.,1
Workers are subjected to verbal abuse by their supervisors.,0
Employees are free to form trade unions and engage in collective bargaining.,1
Workers are denied the minimum wage.,0
All employees are provided with annual health check-ups.,1
Employees are terminated without notice or severance pay.,0
Child labor is strictly prohibited in all company operations.,1
Workers are required to work 12-hour shifts without any overtime pay.,0
The workplace is free from harassment and discrimination.,1
Employees are terminated without notice or severance pay.,0
Health and safety regulations are strictly followed.,1
Employees are forced to sign unfair contracts.,0
The workplace is free from harassment and discrimination.,1
Maternity leave is not provided to female employees.,0
Workers are paid at least the national minimum wage.,1
No health and safety training is provided to workers.,0
The workplace is regularly inspected for safety compliance.,1
Workers are required to work 12-hour shifts without any overtime pay.,0
The workplace is free from harassment and discrimination.,1
Child labor is used in hazardous factory conditions.,0
Employees are granted regular breaks during long shifts.,1
Workers are subjected to verbal abuse by their supervisors.,0
Employees are granted regular breaks during long shifts.,1
Maternity leave is not provided to female employees.,0
Child labor is strictly prohibited in the factory.,1
Child labor is used in hazardous factory conditions.,0
Child labor is strictly prohibited in all company operations.,1
No safety equipment is provided in the workplace.,0
The workplace is regularly inspected for safety compliance.,1
Overtime is not compensated as per the legal requirement.,0
The workplace is free from harassment and discrimination.,1
No paid annual leave is granted to workers despite long service.,0
Overtime is paid at the legal rate for all extra hours worked.,1
Maternity leave is not provided to female employees.,0
Health and safety regulations are strictly followed.,1
The company does not provide paid sick leave to employees.,0
Workers are paid at least the national minimum wage.,1
Employees are terminated without notice or severance pay.,0
Workers have access to medical facilities and health insurance.,1
Maternity leave is not provided to female employees.,0
Child labor is strictly prohibited in the factory.,1
No paid annual leave is granted to workers despite long service.,0
Workers have access to medical facilities and health insurance.,1
No paid annual leave is granted to workers despite long service.,0
Health and safety regulations are strictly followed.,1
Overtime is not compensated as per the legal requirement.,0
Maternity leave is granted as per national labor laws.,1
Maternity leave is not provided to female employees.,0
The workplace is regularly inspected for safety compliance.,1
Employees are required to work more than 12 hours a day without additional pay.,0
Protective equipment is provided in all hazardous areas.,1
Workers are subjected to verbal abuse by their supervisors.,0
Employees are granted regular breaks during long shifts.,1
No health and safety training is provided to workers.,0
The workplace is free from harassment and discrimination.,1
Employees are forced to sign unfair contracts.,0
All employees are provided with annual health check-ups.,1
No health and safety training is provided to workers.,0
Health and safety regulations are strictly followed.,1
Employees are forced to sign unfair contracts.,0
Workers are paid at least the national minimum wage.,1
Employees are not given any medical insurance.,0
Workers have access to medical facilities and health insurance.,1
Workers are subjected to verbal abuse by their supervisors.,0
The workplace is free from harassment and discrimination.,1
The company does not provide paid sick leave to employees.,0
Workers are paid at least the national minimum wage.,1
Employees are not given any medical insurance.,0
All employees receive annual leave as per labor law requirements.,1
Workers are subjected to verbal abuse by their supervisors.,0
Employees are free to form trade unions and engage in collective bargaining.,1
Employees are terminated without notice or severance pay.,0
The workplace is free from harassment and discrimination.,1
Child labor is used in hazardous factory conditions.,0
Child labor is strictly prohibited in the factory.,1
Employees are terminated without notice or severance pay.,0
Health and safety regulations are strictly followed.,1
No safety equipment is provided in the workplace.,0
All employees are provided with annual health check-ups.,1
Workers are subjected to verbal abuse by their supervisors.,0
Employees are free to form trade unions and engage in collective bargaining.,1
Employees are not given any medical insurance.,0
Overtime is paid at the legal rate for all extra hours worked.,1
Wages are paid below the minimum legal requirement.,0
Employees are granted regular breaks during long shifts.,1
Employees are forced to sign unfair contracts.,0
All employees are provided with annual health check-ups.,1
Employees are forced to sign unfair contracts.,0
The workplace is regularly inspected for safety compliance.,1
Workers are subjected to verbal abuse by their supervisors.,0
Protective equipment is provided in all hazardous areas.,1
The company does not provide paid sick leave to employees.,0
Child labor is strictly prohibited in all company operations.,1
Workers are subjected to verbal abuse by their supervisors.,0
Health and safety regulations are strictly followed.,1
Maternity leave is not provided to female employees.,0
All employees are provided with annual health check-ups.,1
No paid annual leave is granted to workers despite long service.,0
All employees receive annual leave as per labor law requirements.,1
Workers are required to work 12-hour shifts without any overtime pay.,0
Health and safety regulations are strictly followed.,1
No health and safety training is provided to workers.,0
All employees are provided with annual health check-ups.,1
Wages are paid below the minimum legal requirement.,0
All employees receive annual leave as per labor law requirements.,1
Employees are forced to sign unfair contracts.,0
Child labor is strictly prohibited in the factory.,1
Employees are required to work more than 12 hours a day without additional pay.,0
Workers have access to medical facilities and health insurance.,1
Employees are required to work more than 12 hours a day without additional pay.,0
Child labor is strictly prohibited in the factory.,1
Workers are subjected to verbal abuse by their supervisors.,0
Workers have access to medical facilities and health insurance.,1
No health and safety training is provided to workers.,0
Child labor is strictly prohibited in all company operations.,1
No safety equipment is provided in the workplace.,0
All employees receive annual leave as per labor law requirements.,1
Overtime is not compensated as per the legal requirement.,0
Employees are granted regular breaks during long shifts.,1
Wages are paid below the minimum legal requirement.,0
Employees are granted regular breaks during long shifts.,1
No health and safety training is provided to workers.,0
The workplace is regularly inspected for safety compliance.,1
Employees are required to work more than 12 hours a day without additional pay.,0
Health and safety regulations are strictly followed.,1
Maternity leave is not provided to female employees.,0
Workers are paid at least the national minimum wage.,1
Workers are denied the minimum wage.,0
All employees receive annual leave as per labor law requirements.,1
Employees are forced to sign unfair contracts.,0
All workers are entitled to a minimum of 10 days of paid vacation annually.,1
Workers are subjected to verbal abuse by their supervisors.,0
Employees are free to form trade unions and engage in collective bargaining.,1
Workers are denied the minimum wage.,0
Child labor is strictly prohibited in all company operations.,1
The company does not provide paid sick leave to employees.,0
Child labor is strictly prohibited in all company operations.,1
Employees are terminated without notice or severance pay.,0
Workers are paid at least the national minimum wage.,1
Child labor is used in hazardous factory conditions.,0
Employees are granted regular breaks during long shifts.,1
Workers are denied the minimum wage.,0
Maternity leave is granted as per national labor laws.,1
Child labor is used in hazardous factory conditions.,0
Health and safety regulations are strictly followed.,1
Workers are required to work 12-hour shifts without any overtime pay.,0
All workers are entitled to a minimum of 10 days of paid vacation annually.,1
Maternity leave is not provided to female employees.,0
Child labor is strictly prohibited in all company operations.,1
Child labor is used in hazardous factory conditions.,0
Overtime is paid at the legal rate for all extra hours worked.,1
Employees are not given any medical insurance.,0
Overtime is paid at the legal rate for all extra hours worked.,1
Employees are forced to sign unfair contracts.,0
Child labor is strictly prohibited in all company operations.,1
Employees are terminated without notice or severance pay.,0
Maternity leave is granted as per national labor laws.,1
Workers are denied the minimum wage.,0
Child labor is strictly prohibited in all company operations.,1
No paid annual leave is granted to workers despite long service.,0
Protective equipment is provided in all hazardous areas.,1
The company does not provide paid sick leave to employees.,0
Employees are free to form trade unions and engage in collective bargaining.,1
No paid annual leave is granted to workers despite long service.,0
All employees receive annual leave as per labor law requirements.,1
Maternity leave is not provided to female employees.,0
The workplace is free from harassment and discrimination.,1
Employees are terminated without notice or severance pay.,0
All workers are entitled to a minimum of 10 days of paid vacation annually.,1
Workers are denied the minimum wage.,0
Child labor is strictly prohibited in the factory.,1
Employees are required to work more than 12 hours a day without additional pay.,0
Employees are free to form trade unions and engage in collective bargaining.,1
Workers are required to work 12-hour shifts without any overtime pay.,0
Overtime is paid at the legal rate for all extra hours worked.,1
No paid annual leave is granted to workers despite long service.,0
Overtime is paid at the legal rate for all extra hours worked.,1
The company does not provide paid sick leave to employees.,0
Child labor is strictly prohibited in all company operations.,1
No health and safety training is provided to workers.,0
All employees receive annual leave as per labor law requirements.,1
No paid annual leave is granted to workers despite long service.,0
Child labor is strictly prohibited in the factory.,1
Wages are paid below the minimum legal requirement.,0
Workers have access to medical facilities and health insurance.,1
Workers are denied the minimum wage.,0
Workers have access to medical facilities and health insurance.,1
Employees are not given any medical insurance.,0
Employees are granted regular breaks during long shifts.,1
Employees are required to work more than 12 hours a day without additional pay.,0
Workers are paid at least the national minimum wage.,1
The company does not provide paid sick leave to employees.,0
Employees are granted regular breaks during long shifts.,1
Overtime is not compensated as per the legal requirement.,0
Workers are paid at least the national minimum wage.,1
Workers are denied the minimum wage.,0
Employees are free to form trade unions and engage in collective bargaining.,1
Child labor is used in hazardous factory conditions.,0
All workers are entitled to a minimum of 10 days of paid vacation annually.,1
Employees are not given any medical insurance.,0
Employees are granted regular breaks during long shifts.,1
Overtime is not compensated as per the legal requirement.,0
Protective equipment is provided in all hazardous areas.,1
Workers are denied the minimum wage.,0
Employees are free to form trade unions and engage in collective bargaining.,1
Workers are required to work 12-hour shifts without any overtime pay.,0
Overtime is paid at the legal rate for all extra hours worked.,1
Wages are paid below the minimum legal requirement.,0
Employees are granted regular breaks during long shifts.,1
Overtime is not compensated as per the legal requirement.,0
Employees are granted regular breaks during long shifts.,1
Maternity leave is not provided to female employees.,0
The workplace is free from harassment and discrimination.,1
Workers are required to work 12-hour shifts without any overtime pay.,0
Workers have access to medical facilities and health insurance.,1
Maternity leave is not provided to female employees.,0
Child labor is strictly prohibited in all company operations.,1
Maternity leave is not provided to female employees.,0
The workplace is regularly inspected for safety compliance.,1
Workers are required to work 12-hour shifts without any overtime pay.,0
All workers are entitled to a minimum of 10 days of paid vacation annually.,1
Maternity leave is not provided to female employees.,0
The workplace is free from harassment and discrimination.,1
Overtime is not compensated as per the legal requirement.,0
Health and safety regulations are strictly followed.,1
No safety equipment is provided in the workplace.,0
Health and safety regulations are strictly followed.,1
Child labor is used in hazardous factory conditions.,0
Health and safety regulations are strictly followed.,1
Employees are required to work more than 12 hours a day without additional pay.,0
All workers are entitled to a minimum of 10 days of paid vacation annually.,1
No safety equipment is provided in the workplace.,0
Protective equipment is provided in all hazardous areas.,1
Overtime is not compensated as per the legal requirement.,0
Workers have access to medical facilities and health insurance.,1
No health and safety training is provided to workers.,0
All employees receive annual leave as per labor law requirements.,1
Child labor is used in hazardous factory conditions.,0
Maternity leave is granted as per national labor laws.,1
Workers are denied the minimum wage.,0
All employees are provided with annual health check-ups.,1
Employees are required to work more than 12 hours a day without additional pay.,0
Child labor is strictly prohibited in all company operations.,1
Employees are forced to sign unfair contracts.,0
Protective equipment is provided in all hazardous areas.,1
No health and safety training is provided to workers.,0
Child labor is strictly prohibited in all company operations.,1
Child labor is used in hazardous factory conditions.,0
All workers are entitled to a minimum of 10 days of paid vacation annually.,1
No safety equipment is provided in the workplace.,0
Health and safety regulations are strictly followed.,1
No health and safety training is provided to workers.,0
Employees are free to form trade unions and engage in collective bargaining.,1
No paid annual leave is granted to workers despite long service.,0
Overtime is paid at the legal rate for all extra hours worked.,1
Workers are required to work 12-hour shifts without any overtime pay.,0
All workers are entitled to a minimum of 10 days of paid vacation annually.,1
Maternity leave is not provided to female employees.,0
All employees receive annual leave as per labor law requirements.,1
Overtime is not compensated as per the legal requirement.,0
Employees are free to form trade unions and engage in collective bargaining.,1
No paid annual leave is granted to workers despite long service.,0
Workers have access to medical facilities and health insurance.,1
Workers are required to work 12-hour shifts without any overtime pay.,0
Health and safety regulations are strictly followed.,1
No paid annual leave is granted to workers despite long service.,0
Workers are paid at least the national minimum wage.,1
No paid annual leave is granted to workers despite long service.,0
All employees receive annual leave as per labor law requirements.,1
Overtime is not compensated as per the legal requirement.,0
The workplace is free from harassment and discrimination.,1
Child labor is used in hazardous factory conditions.,0
All employees are provided with annual health check-ups.,1
Workers are subjected to verbal abuse by their supervisors.,0
Protective equipment is provided in all hazardous areas.,1
Employees are required to work more than 12 hours a day without additional pay.,0
All employees receive annual leave as per labor law requirements.,1
Child labor is used in hazardous factory conditions.,0
All employees receive annual leave as per labor law requirements.,1
No health and safety training is provided to workers.,0
The workplace is regularly inspected for safety compliance.,1
Child labor is used in hazardous factory conditions.,0
All workers are entitled to a minimum of 10 days of paid vacation annually.,1
Employees are required to work more than 12 hours a day without additional pay.,0
The workplace is regularly inspected for safety compliance.,1
Child labor is used in hazardous factory conditions.,0
The workplace is free from harassment and discrimination.,1
Employees are forced to sign unfair contracts.,0
Workers have access to medical facilities and health insurance.,1
Maternity leave is not provided to female employees.,0
Health and safety regulations are strictly followed.,1
Employees are required to work more than 12 hours a day without additional pay.,0
Maternity leave is granted as per national labor laws.,1
No paid annual leave is granted to workers despite long service.,0
Employees are granted regular breaks during long shifts.,1
Maternity leave is not provided to female employees.,0
Employees are granted regular breaks during long shifts.,1
Maternity leave is not provided to female employees.,0
Child labor is strictly prohibited in all company operations.,1
Wages are paid below the minimum legal requirement.,0
Health and safety regulations are strictly followed.,1
Workers are denied the minimum wage.,0
The workplace is regularly inspected for safety compliance.,1
Wages are paid below the minimum legal requirement.,0
Child labor is strictly prohibited in the factory.,1
Employees are not given any medical insurance.,0
All employees are provided with annual health check-ups.,1
Employees are not given any medical insurance.,0
Maternity leave is granted as per national labor laws.,1
Overtime is not compensated as per the legal requirement.,0
Employees are granted regular breaks during long shifts.,1
Employees are forced to sign unfair contracts.,0
All workers are entitled to a minimum of 10 days of paid vacation annually.,1
Child labor is used in hazardous factory conditions.,0
Employees are free to form trade unions and engage in collective bargaining.,1
No paid annual leave is granted to workers despite long service.,0
Workers are paid at least the national minimum wage.,1
The company does not provide paid sick leave to employees.,0
All employees receive annual leave as per labor law requirements.,1
Employees are not given any medical insurance.,0
The workplace is regularly inspected for safety compliance.,1
Employees are terminated without notice or severance pay.,0
Maternity leave is granted as per national labor laws.,1
Wages are paid below the minimum legal requirement.,0
All employees are provided with annual health check-ups.,1
Employees are terminated without notice or severance pay.,0
Workers are paid at least the national minimum wage.,1
Maternity leave is not provided to female employees.,0
The workplace is free from harassment and discrimination.,1
Employees are forced to sign unfair contracts.,0
Workers are paid at least the national minimum wage.,1
Child labor is used in hazardous factory conditions.,0
Maternity leave is granted as per national labor laws.,1
Workers are subjected to verbal abuse by their supervisors.,0
All workers are entitled to a minimum of 10 days of paid vacation annually.,1
Employees are required to work more than 12 hours a day without additional pay.,0
